Shipment_ID,Shipment_Date,Region,Transport_Mode,Distance_km,Shipment_Volume_kg,Priority,Warehouse_Processing_Hours,Delivery_Time_Hours,Transportation_Cost,Delay_Hours,On_Time_Delivery,Customer_Rating
SHP0261,2025-12-12,East,Rail,230,137.82,Standard,3.91,7.51,355.91,3.36,Yes,4.6
SHP0262,2025-04-22,East,Air,2531,531.05,Standard,4.36,10.54,3978.92,1.34,Yes,4.4
SHP0263,2025-03-01,West,Sea,1537,402.04,Express,2.82,48.68,875.38,0.06,Yes,4.9
SHP0264,2025-01-02,South,Air,963,141.53,Standard,8.16,13.63,1977.07,5.44,No,4.5
SHP0265,2025-10-31,North,Sea,1607,384.91,Standard,4.31,52.29,850.99,0.87,Yes,4.7
SHP0266,2025-09-11,North,Rail,2163,187.09,Standard,4.45,37.44,1102.85,2.53,Yes,4.8
SHP0267,2025-05-20,South,Air,1094,256.19,Express,6.02,11.18,2106.21,2.26,Yes,4.3
SHP0268,2025-02-06,East,Air,1685,336.89,Standard,4.11,9.59,2942.44,0.47,Yes,4.4
SHP0269,2025-06-09,East,Road,2481,577.06,Standard,8.0,60.4,1829.29,9.3,No,3.9
SHP0270,2025-01-09,East,Rail,1688,140.87,Express,3.77,29.45,959.59,0.94,Yes,4.5
SHP0271,2025-08-21,South,Air,1632,285.85,Standard,3.14,8.58,2801.21,15.34,No,2.4
SHP0272,2025-04-09,East,Road,2136,907.79,Express,3.06,45.14,1672.49,1.13,Yes,4.4
SHP0273,2025-05-27,South,Air,1358,195.74,Standard,2.95,8.82,2380.63,1.62,Yes,5.0
SHP0274,2025-10-31,South,Road,871,254.06,Express,7.3,25.0,710.62,3.1,Yes,4.8
SHP0275,2025-07-27,East,Rail,651,906.84,Standard,5.88,17.95,641.41,2.5,Yes,4.1
SHP0276,2025-05-11,West,Air,1670,345.93,Standard,5.02,10.01,2928.72,12.32,No,2.8
SHP0277,2025-06-01,South,Road,834,78.9,Express,6.16,24.29,806.0,12.45,No,3.2
SHP0278,2025-02-23,North,Road,1261,126.87,Standard,9.9,37.73,966.34,6.69,No,4.4
SHP0279,2025-04-30,North,Road,720,358.78,Standard,1.28,16.49,908.04,1.98,Yes,4.5
SHP0280,2025-06-10,North,Sea,1316,297.71,Standard,4.26,44.62,595.88,1.47,Yes,4.6
SHP0281,2025-04-26,East,Road,1146,248.09,Standard,4.23,26.96,950.72,5.31,No,3.9
SHP0282,2025-03-16,South,Sea,2576,1005.11,Standard,4.86,80.02,1334.09,11.71,No,3.3
SHP0283,2025-04-23,East,Road,2047,143.7,Standard,9.46,49.83,1201.49,4.56,Yes,4.5
SHP0284,2025-04-14,South,Sea,2658,210.17,Standard,4.33,81.05,1147.94,2.3,Yes,4.6
SHP0285,2025-12-06,North,Sea,150,56.03,Standard,7.2,12.88,138.91,15.31,No,2.9
SHP0286,2025-09-11,South,Rail,2611,498.93,Standard,4.41,47.17,1307.37,2.7,Yes,4.7
SHP0287,2025-08-15,North,Rail,1829,126.57,Standard,4.8,31.77,953.41,2.36,Yes,4.5
SHP0288,2025-04-22,South,Rail,225,464.05,Express,3.19,10.87,256.07,1.05,Yes,5.0
SHP0289,2025-04-09,North,Rail,287,431.13,Express,1.76,10.32,354.42,1.01,Yes,4.4
SHP0290,2025-06-02,West,Road,1172,1146.39,Express,9.18,32.83,1151.65,8.97,No,3.8
SHP0291,2025-12-15,North,Road,2968,348.8,Standard,4.6,60.75,2014.38,0.91,Yes,5.0
SHP0292,2025-12-04,West,Road,2027,172.56,Standard,4.81,43.55,1433.59,13.29,No,3.7
SHP0293,2025-07-13,South,Road,2592,304.15,Standard,4.65,55.07,1754.17,3.39,Yes,4.0
SHP0294,2025-11-06,West,Road,2053,130.13,Standard,6.41,45.57,1504.41,12.81,No,3.2
SHP0295,2025-06-12,East,Rail,1587,276.83,Standard,2.37,28.61,891.11,0.81,Yes,4.2
SHP0296,2025-07-27,East,Sea,804,192.36,Standard,1.85,25.92,491.85,2.99,Yes,4.1
SHP0297,2025-06-18,West,Road,2308,210.77,Standard,1.76,49.04,1520.69,0.18,Yes,4.8
SHP0298,2025-06-10,East,Rail,1196,118.05,Express,2.36,23.18,527.58,0.59,Yes,4.0
SHP0299,2025-03-09,East,Road,1461,273.23,Standard,0.93,27.56,1137.55,5.69,No,4.3
SHP0300,2025-10-16,East,Air,189,394.24,Standard,4.65,10.19,1060.18,5.67,No,4.3
SHP0301,2025-10-04,East,Sea,590,69.65,Standard,2.68,24.45,526.06,2.01,Yes,4.5
SHP0302,2025-10-31,North,Sea,1464,136.73,Standard,3.41,51.0,770.38,1.77,Yes,4.3
SHP0303,2025-05-15,South,Sea,319,249.04,Express,6.14,19.21,300.15,4.23,Yes,4.2
SHP0304,2025-07-14,East,Road,1085,42.81,Standard,2.69,26.43,873.07,0.18,Yes,5.0
SHP0305,2025-05-08,East,Air,1940,748.59,Standard,2.74,7.41,3546.38,1.01,Yes,4.5
SHP0306,2025-02-02,West,Air,555,134.59,Standard,4.03,5.88,1366.52,11.58,No,3.1
SHP0307,2025-06-25,East,Road,1179,114.82,Standard,3.49,29.59,1072.15,5.46,No,3.3
SHP0308,2025-01-22,West,Sea,2129,191.49,Standard,12.28,76.28,904.03,14.21,No,3.5
SHP0309,2025-08-26,South,Road,1922,243.75,Express,1.47,36.67,1470.42,2.37,Yes,4.1
SHP0310,2025-06-07,South,Air,1142,130.38,Express,4.76,10.06,1998.38,2.06,Yes,4.6
SHP0311,2025-02-07,South,Road,862,439.79,Express,2.66,19.11,893.52,13.61,No,3.9
SHP0312,2025-08-18,South,Road,411,292.89,Standard,3.9,11.85,533.95,2.98,Yes,4.6
SHP0313,2025-12-31,West,Air,1506,123.21,Express,3.61,15.46,2455.77,0.78,Yes,4.8
SHP0314,2025-02-20,North,Rail,978,153.59,Standard,6.32,21.35,648.17,13.33,No,3.1
SHP0315,2025-09-21,West,Road,149,76.57,Standard,4.53,7.7,406.21,0.71,Yes,4.8
SHP0316,2025-10-10,South,Road,1731,92.08,Standard,3.98,40.77,1239.19,0.96,Yes,4.7
SHP0317,2025-01-27,East,Air,2106,290.42,Standard,7.43,12.51,3122.99,14.23,No,3.3
SHP0318,2025-08-14,East,Road,2794,124.11,Standard,4.1,59.5,1823.98,2.99,Yes,3.6
SHP0319,2025-10-04,South,Road,1102,782.9,Express,1.23,24.7,1247.75,14.3,No,3.2
SHP0320,2025-10-13,East,Sea,2559,232.68,Standard,5.74,81.98,1123.49,14.12,No,3.3
SHP0321,2025-04-07,South,Air,970,85.89,Standard,4.85,7.69,1909.71,5.08,No,5.0
SHP0322,2025-10-11,North,Road,2487,99.45,Standard,6.78,54.12,1643.04,5.5,No,4.1
SHP0323,2025-11-13,South,Air,681,462.7,Express,5.68,9.18,1604.53,1.63,Yes,4.7
SHP0324,2025-10-31,North,Air,731,209.86,Express,2.52,6.07,1561.47,1.84,Yes,4.7
SHP0325,2025-05-27,South,Sea,2254,443.37,Express,0.66,70.31,1024.5,2.1,Yes,4.7
SHP0326,2025-01-04,East,Rail,2432,171.31,Standard,6.44,43.26,1217.31,4.38,Yes,3.8
SHP0327,2025-02-04,East,Road,2357,149.58,Standard,4.04,50.99,1503.88,12.69,No,3.6
SHP0328,2025-07-11,East,Road,2179,484.74,Standard,2.84,45.26,1617.4,0.06,Yes,4.5
SHP0329,2025-02-18,North,Road,803,121.39,Standard,2.68,18.16,707.88,9.9,No,3.8
SHP0330,2025-01-17,East,Rail,1514,311.79,Standard,4.42,29.97,996.9,8.48,No,3.5
SHP0331,2025-06-21,South,Road,769,190.9,Standard,3.08,21.39,642.95,13.48,No,3.1
SHP0332,2025-08-08,South,Rail,124,409.57,Standard,1.9,5.43,365.82,11.77,No,3.2
SHP0333,2025-06-07,West,Road,1343,790.72,Express,1.74,29.46,1298.28,0.91,Yes,4.6
SHP0334,2025-02-15,North,Road,1972,168.25,Standard,3.62,43.66,1455.49,0.34,Yes,4.7
SHP0335,2025-01-06,East,Sea,2723,150.96,Standard,2.45,91.87,1141.23,2.78,Yes,4.6
SHP0336,2025-04-09,East,Rail,111,352.86,Standard,2.15,5.44,343.58,11.32,No,3.4
SHP0337,2025-08-21,South,Road,923,103.81,Express,8.05,28.57,822.25,3.53,Yes,4.7
SHP0338,2025-02-06,North,Air,369,686.44,Express,2.29,4.98,1393.18,4.38,Yes,4.1
SHP0339,2025-10-07,North,Road,2199,609.24,Express,4.96,48.92,1646.47,9.88,No,3.8
SHP0340,2025-12-15,West,Air,1502,110.01,Express,5.27,10.45,2449.51,2.84,Yes,4.2
SHP0341,2025-10-29,South,Air,923,73.1,Standard,2.05,4.8,1729.88,2.44,Yes,5.0
SHP0342,2025-06-30,South,Road,1795,98.26,Standard,2.08,35.43,1277.43,2.39,Yes,4.7
SHP0343,2025-04-05,South,Air,2352,99.31,Standard,1.9,11.85,3507.39,0.54,Yes,4.5
SHP0344,2025-04-09,East,Rail,1605,388.09,Standard,2.57,25.89,1106.44,1.88,Yes,5.0
SHP0345,2025-07-07,North,Rail,2667,654.86,Standard,4.83,47.09,1411.9,12.2,No,3.5
SHP0346,2025-04-26,South,Road,161,384.94,Standard,3.7,8.42,503.77,5.4,No,3.9
SHP0347,2025-07-10,East,Road,510,187.67,Express,6.5,20.16,700.29,8.86,No,3.7
SHP0348,2025-09-10,West,Sea,2805,281.39,Express,5.42,90.21,1085.41,1.44,Yes,4.2
SHP0349,2025-06-10,North,Road,936,120.44,Express,5.7,24.7,828.4,2.72,Yes,4.1
SHP0350,2025-09-13,South,Rail,1165,477.25,Express,7.11,33.62,658.91,3.89,Yes,4.8
SHP0351,2025-11-19,South,Rail,1125,299.59,Standard,3.65,22.0,905.05,0.05,Yes,4.5
SHP0352,2025-05-08,East,Rail,569,380.41,Standard,4.5,16.85,563.83,1.14,Yes,4.2
SHP0353,2025-01-18,South,Road,861,133.05,Standard,6.13,23.77,801.08,2.4,Yes,4.7
SHP0354,2025-10-08,East,Road,2333,196.76,Standard,6.82,51.77,1452.15,9.71,No,4.2
SHP0355,2025-08-11,West,Air,1974,367.8,Express,4.75,10.45,3181.39,1.24,Yes,5.0
SHP0356,2025-02-23,East,Road,1654,608.17,Standard,1.32,33.75,1332.58,2.24,Yes,5.0
SHP0357,2025-02-27,South,Road,976,144.65,Express,10.16,28.31,978.74,8.53,No,4.6
SHP0358,2025-11-19,West,Road,606,382.34,Standard,3.6,16.53,775.46,2.25,Yes,4.2
SHP0359,2025-12-26,East,Road,2746,134.5,Standard,2.85,56.12,1675.14,2.19,Yes,4.4
SHP0360,2025-06-23,East,Sea,2331,974.61,Standard,2.35,70.32,1255.12,1.05,Yes,4.1
SHP0361,2025-10-07,North,Road,1105,165.61,Standard,5.54,28.56,795.48,1.31,Yes,4.2
SHP0362,2025-04-24,West,Road,628,347.39,Standard,4.8,22.79,586.64,4.57,Yes,4.6
SHP0363,2025-10-15,North,Road,591,248.62,Standard,2.37,16.22,698.34,1.61,Yes,4.7
SHP0364,2025-12-08,North,Air,2211,1371.57,Express,1.37,8.46,4341.0,3.16,Yes,4.9
SHP0365,2025-05-31,North,Rail,2301,260.06,Standard,2.35,37.32,1241.63,6.27,No,3.7
SHP0366,2025-05-07,East,Road,1102,154.39,Standard,5.77,27.96,1060.5,14.03,No,2.9
SHP0367,2025-06-04,North,Air,2740,346.42,Standard,3.79,12.67,4161.64,5.81,No,4.3
SHP0368,2025-09-30,North,Rail,523,341.06,Standard,1.58,10.94,506.37,4.84,Yes,4.6
SHP0369,2025-04-14,North,Sea,2794,198.3,Express,2.25,83.0,1109.19,14.54,No,2.5
SHP0370,2025-10-26,North,Air,2350,102.89,Standard,3.49,8.83,3541.33,9.04,No,3.6
SHP0371,2025-09-03,East,Road,954,152.99,Express,4.13,25.77,696.13,1.73,Yes,4.7
SHP0372,2025-06-25,East,Road,1995,410.37,Standard,2.89,47.25,1652.51,0.3,Yes,5.0
SHP0373,2025-02-08,South,Road,435,65.16,Express,4.33,19.3,581.72,0.69,Yes,5.0
SHP0374,2025-06-19,South,Road,111,186.12,Standard,5.42,8.41,599.38,6.21,No,4.0
SHP0375,2025-09-04,East,Sea,564,444.26,Standard,3.08,26.2,496.35,2.67,Yes,4.0
SHP0376,2025-01-26,North,Road,479,207.38,Standard,7.44,21.88,659.65,3.63,Yes,3.7
SHP0377,2025-12-21,South,Road,629,1013.94,Standard,2.13,17.4,928.66,7.67,No,3.8
SHP0378,2025-11-02,West,Air,1610,65.28,Standard,1.86,7.52,2544.9,1.08,Yes,4.6
SHP0379,2025-01-13,East,Rail,1214,112.96,Standard,7.08,27.44,633.8,14.0,No,2.8
SHP0380,2025-11-12,North,Road,2840,43.81,Standard,0.82,54.18,1711.52,5.03,No,4.5
SHP0381,2025-11-09,East,Road,1373,893.89,Standard,2.53,33.47,1333.17,1.32,Yes,4.2
SHP0382,2025-02-05,South,Road,2772,114.26,Standard,2.86,59.42,1810.66,0.66,Yes,4.5
SHP0383,2025-06-22,East,Air,2408,55.1,Express,5.4,10.73,3420.03,15.19,No,3.4
SHP0384,2025-01-20,North,Road,520,144.27,Standard,1.38,21.53,514.6,4.85,Yes,3.9
SHP0385,2025-11-17,North,Road,1466,83.52,Standard,4.28,37.67,1088.13,3.15,Yes,4.5
SHP0386,2025-09-21,North,Rail,1715,144.99,Standard,3.79,29.17,845.55,3.27,Yes,4.4
SHP0387,2025-05-22,West,Road,1518,227.89,Express,9.29,39.88,1193.19,5.21,No,4.3
SHP0388,2025-05-23,East,Rail,858,388.95,Standard,2.17,15.1,558.56,8.92,No,4.0
SHP0389,2025-04-02,North,Rail,221,195.92,Standard,4.95,10.81,350.56,1.9,Yes,4.7
SHP0390,2025-12-20,North,Road,2673,225.36,Express,3.22,57.56,1706.97,0.72,Yes,4.2
SHP0391,2025-11-18,East,Sea,80,147.36,Express,3.69,6.72,132.9,1.36,Yes,4.2
SHP0392,2025-10-15,North,Rail,96,76.85,Standard,2.46,6.98,100.0,2.48,Yes,4.6
SHP0393,2025-08-03,North,Road,179,60.79,Standard,5.29,13.94,356.9,5.6,No,3.8
SHP0394,2025-12-08,West,Rail,2449,171.55,Express,5.95,42.76,1359.07,2.34,Yes,4.9
SHP0395,2025-02-20,North,Air,1027,234.92,Standard,4.31,10.55,2085.34,3.02,Yes,4.5
SHP0396,2025-06-02,East,Air,1695,162.87,Standard,13.99,21.04,2752.29,8.06,No,3.2
SHP0397,2025-07-05,West,Road,1654,62.39,Standard,2.94,37.02,1021.46,0.3,Yes,5.0
SHP0398,2025-03-04,South,Sea,107,254.93,Express,5.49,10.69,326.26,6.09,No,3.9
SHP0399,2025-07-09,North,Road,1179,692.64,Standard,7.78,31.86,1158.93,6.31,No,4.0
SHP0400,2025-05-05,North,Road,2909,204.33,Express,4.81,60.21,1888.95,4.56,Yes,4.4
SHP0401,2025-05-30,West,Road,1403,147.57,Standard,6.23,35.16,1169.89,1.95,Yes,4.5
SHP0402,2025-11-10,West,Road,817,212.23,Standard,8.32,23.72,822.87,20.28,No,2.7
SHP0403,2025-02-27,West,Air,732,102.2,Standard,4.94,8.74,1671.34,1.8,Yes,4.2
SHP0404,2025-12-08,North,Road,2058,97.69,Standard,5.99,44.59,1303.64,2.03,Yes,5.0
SHP0405,2025-11-01,West,Road,2383,303.68,Express,2.19,51.29,1560.74,3.33,Yes,4.6
SHP0406,2025-06-29,West,Sea,1840,442.85,Express,0.79,57.86,828.33,3.1,Yes,4.2
SHP0407,2025-06-19,East,Road,1527,199.74,Standard,4.97,35.41,1136.96,1.32,Yes,4.7
SHP0408,2025-11-22,West,Road,935,55.61,Standard,3.02,23.22,910.77,5.02,No,4.6
SHP0409,2025-09-28,West,Road,446,283.54,Standard,3.29,15.19,544.65,5.71,No,4.3
SHP0410,2025-02-23,East,Road,1588,941.21,Standard,3.05,34.14,1404.65,0.2,Yes,4.8
SHP0411,2025-04-11,East,Road,2123,186.66,Standard,3.77,42.7,1516.36,0.24,Yes,5.0
SHP0412,2025-09-21,South,Air,362,195.49,Standard,4.14,8.15,1206.0,1.48,Yes,4.9
SHP0413,2025-02-22,North,Road,2223,120.2,Standard,5.44,46.64,1335.78,2.7,Yes,4.3
SHP0414,2025-03-01,East,Road,1638,310.12,Express,4.73,36.33,1342.62,5.55,No,4.2
SHP0415,2025-04-18,South,Air,1271,138.42,Express,1.58,6.48,2142.08,1.18,Yes,5.0
SHP0416,2025-01-05,West,Air,860,452.62,Standard,6.02,10.91,1930.92,2.34,Yes,4.6
SHP0417,2025-04-13,West,Road,2285,139.73,Express,10.05,55.07,1669.12,14.62,No,2.8
SHP0418,2025-07-15,West,Rail,2795,281.25,Standard,3.12,43.87,1396.95,4.23,Yes,4.4
SHP0419,2025-09-19,North,Road,2907,214.34,Standard,4.71,58.63,1801.32,1.66,Yes,4.5
SHP0420,2025-12-31,South,Rail,2813,657.59,Standard,1.29,44.62,1402.57,14.14,No,3.3
SHP0421,2025-12-16,North,Rail,2082,294.9,Standard,3.24,37.37,1121.41,2.05,Yes,5.0
SHP0422,2025-02-16,East,Road,1557,584.59,Standard,1.71,32.11,1284.21,6.8,No,4.2
SHP0423,2025-12-21,West,Sea,499,238.9,Standard,3.61,20.35,400.0,6.51,No,3.7
SHP0424,2025-11-07,West,Road,2620,196.46,Express,3.19,51.39,1727.66,1.13,Yes,4.8
SHP0425,2025-11-04,South,Air,1944,215.57,Express,4.42,12.01,3167.54,2.01,Yes,3.7
SHP0426,2025-05-24,West,Road,1427,129.03,Standard,2.67,32.19,1081.99,3.41,Yes,4.4
SHP0427,2025-09-26,West,Air,2755,321.23,Express,1.01,11.48,3989.86,15.39,No,3.3
SHP0428,2025-05-04,South,Rail,646,136.56,Standard,2.1,13.75,555.14,13.46,No,3.3
SHP0429,2025-04-16,West,Air,2197,239.54,Standard,2.55,15.48,3545.32,8.91,No,3.8
SHP0430,2025-06-07,South,Road,665,402.88,Standard,5.8,19.44,769.15,13.1,No,4.0
SHP0431,2025-05-27,South,Rail,997,670.81,Standard,2.41,19.38,793.45,10.26,No,3.0
SHP0432,2025-05-25,East,Rail,1631,248.14,Standard,9.71,41.11,863.03,4.93,Yes,3.7
SHP0433,2025-04-30,South,Air,605,404.58,Standard,5.73,11.84,1574.18,8.66,No,3.9
SHP0434,2025-11-15,East,Rail,327,372.16,Standard,1.92,9.42,460.31,2.0,Yes,4.9
SHP0435,2025-10-02,East,Rail,2063,169.41,Express,2.62,33.61,1173.5,0.3,Yes,5.0
SHP0436,2025-04-02,East,Road,540,968.22,Standard,5.82,16.27,921.56,10.78,No,3.3
SHP0437,2025-02-27,South,Road,304,147.91,Standard,2.6,9.1,614.41,2.15,Yes,4.2
SHP0438,2025-12-12,East,Rail,2478,235.97,Standard,2.01,38.81,1279.49,0.43,Yes,4.4
SHP0439,2025-08-17,East,Road,941,612.71,Standard,2.27,24.35,892.26,0.9,Yes,4.8
SHP0440,2025-04-27,East,Sea,591,602.22,Standard,3.18,25.21,423.34,0.91,Yes,4.3
SHP0441,2025-11-14,South,Air,1337,223.64,Express,1.99,14.4,2438.73,1.47,Yes,5.0
SHP0442,2025-10-06,North,Sea,1683,442.88,Standard,4.61,55.26,945.5,3.7,Yes,4.3
SHP0443,2025-05-07,East,Road,874,189.28,Standard,11.03,28.81,665.38,12.5,No,3.1
SHP0444,2025-05-09,North,Sea,2976,157.26,Standard,3.65,92.13,1245.44,0.05,Yes,4.5
SHP0445,2025-02-27,East,Air,1402,94.73,Standard,4.34,8.84,2305.51,0.59,Yes,4.2
SHP0446,2025-05-02,West,Air,330,367.5,Standard,2.85,4.79,1172.15,9.37,No,3.4
SHP0447,2025-01-01,East,Rail,1348,395.62,Standard,11.07,31.51,734.57,6.13,No,3.9
SHP0448,2025-08-27,East,Road,822,148.78,Express,2.31,22.63,692.28,8.75,No,3.9
SHP0449,2025-10-17,West,Air,2940,267.11,Standard,3.61,9.96,4236.81,0.51,Yes,4.7
SHP0450,2025-04-06,West,Rail,2816,1416.14,Standard,4.37,47.45,1609.92,20.08,No,2.1
SHP0451,2025-05-06,West,Road,377,494.07,Standard,2.37,12.87,696.6,4.77,Yes,3.8
SHP0452,2025-04-28,West,Road,2308,117.8,Standard,3.81,47.45,1583.27,4.26,Yes,4.2
SHP0453,2025-02-17,North,Sea,2824,446.35,Standard,5.82,90.45,1236.49,11.88,No,2.7
SHP0454,2025-03-30,North,Sea,972,118.18,Express,2.53,37.09,371.23,0.42,Yes,4.6
SHP0455,2025-08-25,East,Sea,601,29.18,Standard,1.52,19.86,360.07,5.22,No,4.6
SHP0456,2025-09-29,North,Rail,2123,218.27,Standard,5.66,38.46,1162.22,4.06,Yes,4.2
SHP0457,2025-07-08,South,Road,2124,661.32,Standard,4.76,44.81,1590.78,0.74,Yes,4.8
SHP0458,2025-07-11,South,Road,751,588.87,Standard,3.51,18.31,777.16,1.18,Yes,4.7
SHP0459,2025-03-10,East,Road,1969,288.32,Standard,2.51,43.18,1424.02,2.57,Yes,4.0
SHP0460,2025-10-05,East,Road,2779,151.53,Standard,0.9,53.84,1858.29,0.65,Yes,5.0
SHP0461,2025-12-15,East,Road,2510,311.22,Standard,7.19,59.36,1579.43,6.52,No,3.9
SHP0462,2025-09-04,East,Road,216,183.39,Standard,2.13,6.46,541.31,1.12,Yes,4.7
SHP0463,2025-03-17,West,Road,218,154.54,Express,2.28,8.38,324.06,1.64,Yes,4.4
SHP0464,2025-06-03,South,Sea,278,465.63,Standard,2.29,11.79,333.99,10.3,No,4.0
SHP0465,2025-05-24,West,Road,2052,153.2,Standard,6.06,43.79,1526.72,2.18,Yes,4.0
SHP0466,2025-03-27,North,Sea,416,487.39,Standard,8.34,23.47,432.13,3.74,Yes,4.8
SHP0467,2025-07-04,West,Rail,577,146.27,Standard,2.34,12.85,551.6,9.83,No,3.5
SHP0468,2025-10-12,East,Road,840,935.37,Standard,1.98,20.29,1163.67,1.44,Yes,4.4
SHP0469,2025-08-08,South,Road,573,70.21,Standard,3.3,15.09,472.95,10.5,No,3.3
SHP0470,2025-03-10,North,Road,1145,113.33,Standard,2.61,27.77,991.58,2.35,Yes,5.0
SHP0471,2025-02-16,South,Road,1718,198.59,Standard,1.9,42.09,1370.45,2.69,Yes,3.9
SHP0472,2025-04-04,North,Air,2203,55.21,Standard,6.96,14.08,3228.08,2.66,Yes,4.3
SHP0473,2025-08-26,North,Road,2829,36.61,Standard,5.3,58.66,1795.07,1.16,Yes,4.2
SHP0474,2025-07-23,East,Road,1958,55.55,Express,1.58,39.77,1193.3,0.19,Yes,4.1
SHP0475,2025-08-06,East,Road,1355,180.47,Standard,4.3,31.91,1120.9,3.68,Yes,4.8
SHP0476,2025-12-07,East,Sea,182,183.7,Standard,4.1,9.78,100.0,10.67,No,3.5
SHP0477,2025-02-08,West,Air,2631,279.53,Standard,5.43,14.76,4026.25,1.43,Yes,4.2
SHP0478,2025-04-10,East,Air,2366,192.89,Standard,1.66,8.56,3447.97,1.43,Yes,4.9
SHP0479,2025-10-16,East,Road,2770,273.05,Standard,6.68,60.66,1980.32,2.31,Yes,4.4
SHP0480,2025-09-11,North,Air,1692,161.56,Standard,3.12,11.19,2753.42,0.03,Yes,4.6
SHP0481,2025-08-10,East,Air,2888,365.17,Express,5.07,21.04,4406.38,2.46,Yes,4.7
SHP0482,2025-12-23,South,Rail,1938,335.63,Standard,1.89,32.5,1010.01,1.52,Yes,4.5
SHP0483,2025-01-23,West,Sea,1820,176.15,Standard,2.65,57.01,746.55,10.44,No,3.2
SHP0484,2025-09-07,West,Road,67,321.54,Standard,2.36,5.2,258.3,4.38,Yes,4.5
SHP0485,2025-01-10,East,Sea,1827,193.75,Standard,1.2,55.25,947.03,2.69,Yes,4.4
SHP0486,2025-09-03,North,Sea,166,76.28,Standard,1.91,11.1,292.23,1.19,Yes,4.9
SHP0487,2025-11-21,West,Road,847,417.03,Express,2.29,18.57,917.68,0.23,Yes,4.6
SHP0488,2025-04-10,West,Rail,2648,117.36,Standard,3.27,45.4,1333.92,2.89,Yes,4.8
SHP0489,2025-10-17,North,Sea,1761,413.92,Express,5.24,58.36,929.73,3.09,Yes,4.4
SHP0490,2025-06-29,South,Road,802,277.78,Express,6.68,25.16,764.99,2.92,Yes,4.8
SHP0491,2025-08-11,West,Rail,2519,208.69,Express,5.92,45.27,1310.99,2.36,Yes,4.9
SHP0492,2025-09-07,North,Sea,1442,59.51,Standard,6.18,51.91,623.01,2.25,Yes,5.0
SHP0493,2025-05-27,West,Rail,2743,650.55,Standard,7.72,50.03,1462.34,5.65,No,4.1
SHP0494,2025-04-06,South,Road,2655,171.71,Standard,3.75,55.5,2013.81,7.98,No,4.0
SHP0495,2025-09-14,North,Rail,2147,345.22,Standard,6.3,40.09,1166.87,3.98,Yes,4.2
SHP0496,2025-11-21,West,Road,727,204.43,Standard,2.68,20.38,563.67,1.59,Yes,4.3
SHP0497,2025-01-04,South,Rail,155,183.09,Express,3.6,7.58,266.81,1.05,Yes,5.0
SHP0498,2025-01-16,East,Road,707,253.4,Standard,3.47,17.46,642.94,0.71,Yes,4.5
SHP0499,2025-10-07,North,Rail,1996,225.56,Standard,4.57,37.2,1082.8,13.17,No,3.5
SHP0500,2025-12-02,North,Rail,1498,183.66,Standard,3.43,28.95,782.49,2.42,Yes,4.8
SHP0501,2025-09-04,East,Air,1145,213.0,Standard,2.13,6.33,2082.51,0.84,Yes,4.8
SHP0502,2025-09-15,East,Rail,1037,298.55,Standard,2.59,29.78,634.44,7.56,No,3.8
SHP0503,2025-06-09,East,Rail,2939,313.71,Express,3.08,45.87,1497.96,3.19,Yes,4.4
SHP0504,2025-12-06,West,Air,1858,228.23,Standard,1.14,5.78,2923.73,1.15,Yes,4.4
SHP0505,2025-06-01,East,Road,1832,341.95,Express,7.28,42.51,1405.83,2.75,Yes,4.5
SHP0506,2025-06-27,North,Rail,495,164.54,Express,4.15,13.51,590.77,1.35,Yes,4.2
SHP0507,2025-06-12,South,Road,1998,1050.92,Express,4.62,45.34,1624.37,2.57,Yes,4.8
SHP0508,2025-02-02,West,Sea,2167,626.35,Standard,5.69,72.08,1137.61,1.56,Yes,4.5
SHP0509,2025-06-28,West,Road,2047,377.55,Express,5.67,43.73,1311.77,2.65,Yes,4.1
SHP0510,2025-04-11,East,Road,2247,56.88,Standard,2.4,45.48,1487.14,1.37,Yes,4.2
SHP0511,2025-09-25,North,Air,823,338.39,Standard,4.88,8.88,1824.7,7.83,No,3.8
SHP0512,2025-11-19,South,Rail,1611,174.92,Standard,4.94,31.41,838.11,3.55,Yes,4.3
SHP0513,2025-03-06,East,Road,1725,111.6,Standard,3.57,40.15,1094.82,10.7,No,3.3
SHP0514,2025-06-17,West,Rail,1172,171.83,Standard,2.02,19.65,713.01,11.23,No,3.6
SHP0515,2025-11-26,East,Rail,1351,120.6,Standard,4.3,25.31,899.01,0.97,Yes,4.8
SHP0516,2025-02-12,West,Air,1636,315.69,Standard,9.38,12.98,2760.93,4.8,Yes,4.2
SHP0517,2025-02-13,West,Road,1736,686.22,Express,3.13,38.15,1489.66,11.15,No,3.1
SHP0518,2025-10-12,North,Rail,993,394.74,Standard,3.24,20.25,790.88,0.21,Yes,4.5
SHP0519,2025-01-12,South,Rail,504,1531.14,Standard,4.14,13.65,995.04,8.03,No,3.3
SHP0520,2025-04-05,North,Air,1177,74.62,Standard,6.72,13.81,1947.44,5.17,No,4.1
SHP0521,2025-10-29,North,Rail,995,155.36,Standard,1.22,20.87,562.79,1.38,Yes,4.8
SHP0522,2025-09-10,West,Rail,650,114.42,Express,8.18,22.69,462.28,8.43,No,3.4
SHP0523,2025-08-30,South,Road,2750,523.51,Standard,1.14,52.06,1994.96,6.83,No,3.8
